"districtid","hasMetro","busStopDensity","stopsWithinMetroService","streetDensity","collectorStreetDensity","mainRoadDensity","highWayDensity","busRouteDensity","lineOverlapFactor","peopleDensity","developLevel","developLevelWithinBusService","busAccessibility","laggingIndex","weiboSignin","number","number_level","1","2","3","4","5","index","leafIndex"
14,0,0.800697659,0,0.836400405,0.113216073,0,0,3.923597305,3.331945912,437.3447754,-0.327436779,-0.40615064,12672.32211,3.744932833,723,120,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
15,0,0.618273115,0,0.224371387,0,0,0,0.891336293,3.416814955,175.4118592,-0.332500989,-0.39728679,17770.77177,3.388209323,29,63,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
16,1,19.97610619,20,4.249086221,1.18377843,0.076097117,0,71.13828842,17.23985292,12360.67356,0.226241246,-0.05208947,7646.48224,3.812446393,18810,1077,5,0,0.137931034482759,0.0344827586206897,0.206896551724138,0.620689655172414,5,5
17,1,26.4844023,26,5.642096971,2.281183833,1.774705398,0,89.45119975,24.99897777,11776.08599,0.20319228,0.099953057,7298.452965,3.580739318,6625,1102,5,0,0.137931034482759,0.0344827586206897,0.206896551724138,0.620689655172414,5,5
18,1,2.676745028,2,2.739772634,0,0.283988474,0.138553212,10.82716117,7.512929662,2958.770596,-0.306281516,-0.264496497,7073.579932,3.406474817,5175,1657,5,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
19,1,9.022057543,8,4.803434243,1.52091067,0.290967378,0,15.32171285,7.804482289,1078.414493,-0.292686806,-0.265361855,7363.997279,3.522677071,2296,636,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
20,1,19.32412217,26,4.14285241,2.343592373,2.018764712,0,93.14340005,24.75969031,10078.29526,-0.023705494,-0.10680672,6775.567007,3.199744319,3681,1006,5,0,0.137931034482759,0.0344827586206897,0.206896551724138,0.620689655172414,5,5
21,0,1.459658446,0,0.918771641,0,0,0,4.04755972,3.49838619,135.6830392,-0.329725711,-0.411379415,14318.05,3.635570837,106,100,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
22,0,0.332132905,0,0.085558197,0,0,0,0.294043538,3.204409229,161.6845939,-0.330092878,-0.40714742,16857.62056,3.235389592,785,133,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
23,0,1.297089623,0,1.063098966,0,0,0,1.081268693,2.254142481,350.7175161,-0.152679159,-0.366146377,16345.37193,3.129173862,3986,246,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
25,0,0.634935724,0,0.454573667,0.015721369,0,0,1.600993744,6.81253783,185.8963905,-0.32965816,-0.399367397,12682.55714,3.819364644,178,122,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
26,0,2.060092557,0,0.63181352,1.017387002,0,0,8.7882552,5.845448638,804.0199741,-0.26638193,-0.102336998,13518.49558,3.908773042,2359,63,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
27,0,3.340179309,0,0.799854249,0,0,0,3.927322737,2.096375854,162.7352647,-0.30190303,-0.408283345,15887.38957,3.613936607,355,103,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
28,0,1.27901567,0,0.605782791,0,0,0,2.013285139,4.208197232,132.8351236,-0.327274562,-0.395604466,15887.25324,3.516289252,1470,412,2,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
29,0,1.273851273,0,0,0,0,0,1.109406224,2.164448278,74.31294755,-0.325025213,-0.405714991,16527.48194,2.952844164,682,131,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
30,1,13.14744598,27,4.946775636,1.246278732,2.688985144,0,67.59783295,16.22702565,13643.44176,0.198260032,0.76440662,7236.188095,3.703306211,6915,1555,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
31,1,21.77118485,27,6.801141139,0.50086316,2.052552159,0,104.4659652,24.51316203,12430.59532,0.001057186,0.582755015,6977.869728,3.572691368,4738,1454,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
32,0,3.929341018,0,0,0.160946631,0,0,3.04412165,10.08349279,3706.956596,-0.321311779,-0.371312733,8459.219496,3.140175581,459,578,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
33,0,7.163548997,0,0.653323271,0.130283743,0.816236267,0,20.6545926,11.69499562,7261.795217,-0.311832411,-0.380929292,8548.379346,3.333313832,1418,562,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
34,0,5.807456067,0,0.255242025,0.353730362,0,0,10.25260279,8.007933166,8516.361566,-0.25915139,-0.198493225,8966.715646,4.585442772,1678,281,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
35,0,4.199780379,0,0.143654919,0.090092342,0,0,5.510037507,7.062709033,4107.346658,-0.32851431,-0.409499341,9030.998299,4.299533662,3361,294,1,0.0833333333333333,0,0.666666666666667,0.25,0,3,6
36,0,6.259345383,0,0.100439448,0.144384432,0,0.227016971,4.377460216,2.739815358,9032.122883,-0.273938615,-0.403331451,8496.870068,4.257967373,1465,543,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
38,0,10.99462509,0,0,0.592805152,0,0.227180153,16.56454093,6.866945607,8154.644236,-0.321060975,-0.333278052,8699.454422,4.733085249,398,318,1,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
40,1,6.448179208,16,0.441167301,0.20253899,0.795190153,0.451807428,25.04482213,8.72016859,8490.835114,-0.283682586,-0.366517064,6739.718001,4.18924073,746,736,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
41,0,3.041482784,0,0.107800841,0.272274997,0.555044144,0.75956821,28.51953055,28.63467091,7241.220727,-0.323876682,-0.381747304,6089.927062,3.749978843,405,628,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
42,0,3.01915275,0,0.474116005,0.219651669,0.161121026,0.575891274,18.29031625,13.14499429,5232.112046,-0.314304396,0.810925268,7524.506122,4.099089652,166,616,3,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
43,0,6.033063871,0,2.341882135,0.116565316,0.132690962,0.506111511,23.6593409,14.96491784,5869.388055,-0.1047417,-0.180162997,6955.942517,3.891228515,6043,753,3,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
44,0,0.178923738,0,0.405064897,0.092729726,0,0.072824796,1.099274862,8.744116166,159.4045072,-0.332603275,-0.411240899,34935.02784,9.722940033,32,161,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
45,0,2.178249309,0,3.110959168,0.781611746,0,0.731023888,10.32229376,7.7678124,720.0309424,-0.327954111,-0.405897624,11313.23639,4.071789208,173,231,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
